"L1","L2","L3","DescriptorName"
"A","A11","A11.104","Blastomeres"
"A","A11","A11.118","Blood Cells"
"A","A11","A11.148","Bone Marrow Cells"
"A","A11","A11.251","Cells, Cultured"
"A","A11","A11.270","Cells, Immobilized"
"A","A11","A11.284","Cellular Structures"
"A","A11","A11.299","Chromaffin Cells"
"A","A11","A11.329","Connective Tissue Cells"
"A","A11","A11.382","Endocrine Cells"
"A","A11","A11.436","Epithelial Cells"
"A","A11","A11.443","Erythroid Cells"
"A","A11","A11.450","Eukaryotic Cells"
"A","A11","A11.497","Germ Cells"
"A","A11","A11.500","Giant Cells"
"A","A11","A11.561","Hepatic Stellate Cells"
"A","A11","A11.600","Mesophyll Cells"
"A","A11","A11.620","Muscle Cells"
"A","A11","A11.627","Myeloid Cells"
"A","A11","A11.635","Myoblasts"
"A","A11","A11.642","Neoplastic Cells, Circulating"
"A","A11","A11.650","Neuroglia"
"A","A11","A11.671","Neurons"
"A","A11","A11.690","Oxyphil Cells"
"A","A11","A11.700","Pancreatic Stellate Cells"
"A","A11","A11.710","Pericytes"
"A","A11","A11.733","Phagocytes"
"A","A11","A11.750","Plant Cells"
"A","A11","A11.760","Prokaryotic Cells"
"A","A11","A11.789","Protoplasts"
"A","A11","A11.828","Reed-Sternberg Cells"
"A","A11","A11.868","Spheroplasts"
"A","A11","A11.870","Spores"
"A","A11","A11.872","Stem Cells"
"A","A11","A11.900","Thymocytes"
"A","A12","A12.098","Amniotic Fluid"
"A","A12","A12.200","Bodily Secretions"
"A","A12","A12.207","Body Fluids"
"A","A12","A12.383","Exudates and Transudates"
"A","A12","A12.459","Feces"
"A","A12","A12.519","Gastrointestinal Contents"
"A","A12","A12.580","Hyalin"
"A","A13","A13.048","Air Sacs"
"A","A13","A13.073","Anal Sacs"
"A","A13","A13.077","Animal Fins"
"A","A13","A13.079","Animal Shells"
"A","A13","A13.093","Arthropod Antennae"
"A","A13","A13.114","Beak"
"A","A13","A13.163","Bursa of Fabricius"
"A","A13","A13.223","Cloaca"
"A","A13","A13.242","Comb and Wattles"
"A","A13","A13.246","Compound Eye, Arthropod"
"A","A13","A13.250","Corpora Allata"
"A","A13","A13.265","Crop, Avian"
"A","A13","A13.316","Egg Shell"
"A","A13","A13.332","Electric Organ"
"A","A13","A13.350","Embryo, Nonmammalian"
"A","A13","A13.365","Fat Body"
"A","A13","A13.370","Feathers"
"A","A13","A13.395","Forelimb"
"A","A13","A13.408","Ganglia, Invertebrate"
"A","A13","A13.421","Gills"
"A","A13","A13.445","Harderian Gland"
"A","A13","A13.449","Head Kidney"
"A","A13","A13.453","Hemolymph"
"A","A13","A13.463","Hepatopancreas"
"A","A13","A13.468","High Vocal Center"
"A","A13","A13.473","Hindlimb"
"A","A13","A13.491","Hoof and Claw"
"A","A13","A13.507","Horns"
"A","A13","A13.518","Imaginal Discs"
"A","A13","A13.530","Interrenal Gland"
"A","A13","A13.564","Lateral Line System"
"A","A13","A13.574","Malpighian Tubules"
"A","A13","A13.589","Mammary Glands, Animal"
"A","A13","A13.600","Metrial Gland"
"A","A13","A13.641","Mushroom Bodies"
"A","A13","A13.655","Nematocyst"
"A","A13","A13.660","Nictitating Membrane"
"A","A13","A13.686","Optic Lobe, Nonmammalian"
"A","A13","A13.706","Oviducts"
"A","A13","A13.734","Perianal Glands"
"A","A13","A13.750","Photoreceptor Cells, Invertebrate"
"A","A13","A13.811","Salt Gland"
"A","A13","A13.820","Scent Glands"
"A","A13","A13.825","Sensilla"
"A","A13","A13.853","Stomach, Avian"
"A","A13","A13.869","Stomach, Ruminant"
"A","A13","A13.895","Tail"
"A","A13","A13.939","Ultimobranchial Body"
"A","A13","A13.950","Vibrissae"
"A","A13","A13.970","Wool"
"A","A14","A14.194","Cheek"
"A","A14","A14.363","Facial Muscles"
"A","A14","A14.521","Jaw"
"A","A14","A14.530","Masticatory Muscles"
"A","A14","A14.549","Mouth"
"A","A14","A14.724","Pharynx"
"A","A14","A14.907","Temporomandibular Joint"
"A","A15","A15.145","Blood"
"A","A15","A15.378","Hematopoietic System"
"A","A15","A15.382","Immune System"
"A","A16","A16.094","Blastomeres"
"A","A16","A16.142","Branchial Region"
"A","A16","A16.166","Cleavage Stage, Ovum"
"A","A16","A16.178","Cloaca"
"A","A16","A16.254","Embryo, Mammalian"
"A","A16","A16.331","Embryo, Nonmammalian"
"A","A16","A16.378","Fetus"
"A","A16","A16.504","Germ Layers"
"A","A16","A16.535","Gestational Sac"
"A","A16","A16.567","Limb Buds"
"A","A16","A16.599","Mesonephros"
"A","A16","A16.615","Morula"
"A","A16","A16.623","Mullerian Ducts"
"A","A16","A16.627","Neural Crest"
"A","A16","A16.629","Neural Plate"
"A","A16","A16.630","Neural Tube"
"A","A16","A16.660","Notochord"
"A","A16","A16.675","Organizers, Embryonic"
"A","A16","A16.690","Ovum"
"A","A16","A16.710","Placenta"
"A","A16","A16.830","Primitive Streak"
"A","A16","A16.835","Pronephros"
"A","A16","A16.890","Urachus"
"A","A16","A16.920","Vitelline Duct"
"A","A16","A16.935","Wolffian Ducts"
"A","A16","A16.950","Zygote"
"A","A17","A17.360","Hair"
"A","A17","A17.600","Nails"
"A","A17","A17.815","Skin"
"A","A18","A18.005","Chromosomes, Plant"
"A","A18","A18.011","Phloem"
"A","A18","A18.024","Plant Components, Aerial"
"A","A18","A18.400","Plant Roots"
"A","A18","A18.450","Plant Vascular Bundle"
"A","A18","A18.550","Seedling"
"A","A18","A18.560","Sporangia"
"A","A18","A18.700","Xylem"
"A","A19","A19.311","Chromosomes, Fungal"
"A","A19","A19.374","Fruiting Bodies, Fungal"
"A","A19","A19.530","Fungal Capsules"
"A","A19","A19.687","Mycelium"
"A","A19","A19.690","Mycorrhizae"
"A","A19","A19.800","Sporangia"
"A","A20","A20.186","Bacterial Capsules"
"A","A20","A20.374","Bacterial Chromatophores"
"A","A20","A20.812","Chromosomes, Bacterial"
"A","A20","A20.843","Fimbriae, Bacterial"
"A","A20","A20.859","Magnetosomes"
"A","A20","A20.867","Pili, Sex"
"A","A20","A20.871","Purple Membrane"
"A","A20","A20.873","Ribosome Subunits, Large, Bacterial"
"A","A20","A20.874","Ribosome Subunits, Small, Bacterial"
"A","A21","A21.249","Virion"
"B","B01","B01.043","Alveolata"
"B","B01","B01.046","Amoebozoa"
"B","B01","B01.050","Animals"
"B","B01","B01.175","Choanoflagellata"
"B","B01","B01.206","Cryptophyta"
"B","B01","B01.237","Diplomonadida"
"B","B01","B01.268","Euglenozoa"
"B","B01","B01.300","Fungi"
"B","B01","B01.400","Haptophyta"
"B","B01","B01.500","Mesomycetozoea"
"B","B01","B01.625","Oxymonadida"
"B","B01","B01.630","Parabasalidea"
"B","B01","B01.650","Plants"
"B","B01","B01.675","Retortamonadidae"
"B","B01","B01.680","Rhizaria"
"B","B01","B01.750","Stramenopiles"
"B","B02","B02.050","Blood-Borne Pathogens"
"B","B02","B02.075","Crenarchaeota"
"B","B02","B02.200","Euryarchaeota"
"B","B02","B02.500","Korarchaeota"
"B","B02","B02.600","Nanoarchaeota"
"B","B03","B03.026","Acidobacteria"
"B","B03","B03.054","Agricultural Inoculants"
"B","B03","B03.110","Atypical Bacterial Forms"
"B","B03","B03.120","Bacteria, Aerobic"
"B","B03","B03.130","Bacteria, Anaerobic"
"B","B03","B03.140","Bacteroidetes"
"B","B03","B03.165","Blood-Borne Pathogens"
"B","B03","B03.250","Chlorobi"
"B","B03","B03.275","Chloroflexi"
"B","B03","B03.280","Cyanobacteria"
"B","B03","B03.300","Endospore-Forming Bacteria"
"B","B03","B03.335","Fibrobacteres"
"B","B03","B03.370","Fusobacteria"
"B","B03","B03.440","Gram-Negative Bacteria"
"B","B03","B03.510","Gram-Positive Bacteria"
"B","B03","B03.650","Planctomycetales"
"B","B03","B03.660","Proteobacteria"
"B","B03","B03.851","Spirochaetales"
"B","B03","B03.900","Sulfur-Reducing Bacteria"
"B","B03","B03.950","Verrucomicrobia"
"B","B04","B04.080","Arboviruses"
"B","B04","B04.100","Archaeal Viruses"
"B","B04","B04.123","Bacteriophages"
"B","B04","B04.265","Defective Viruses"
"B","B04","B04.280","DNA Viruses"
"B","B04","B04.423","Helper Viruses"
"B","B04","B04.450","Hepatitis Viruses"
"B","B04","B04.525","Insect Viruses"
"B","B04","B04.700","Oncolytic Viruses"
"B","B04","B04.715","Plant Viruses"
"B","B04","B04.725","Proviruses"
"B","B04","B04.800","Reassortant Viruses"
"B","B04","B04.820","RNA Viruses"
"B","B04","B04.909","Vertebrate Viruses"
"B","B04","B04.950","Virion"
"B","B04","B04.956","Viroids"
"B","B04","B04.970","Viruses, Unclassified"
"B","B05","B05.080","Aquatic Organisms"
"B","B05","B05.110","Atypical Bacterial Forms"
"B","B05","B05.200","Chimera"
"B","B05","B05.237","Endophytes"
"B","B05","B05.275","Hermaphroditic Organisms"
"B","B05","B05.350","Lichens"
"B","B05","B05.500","Life Cycle Stages"
"B","B05","B05.550","Mycorrhizae"
"B","B05","B05.620","Organisms, Genetically Modified"
"B","B05","B05.775","Spores"
"B","B05","B05.825","Transplantation Chimera"
"C","C01","C01.252","Bacterial Infections"
"C","C01","C01.323","Brain Abscess"
"C","C01","C01.395","Central Nervous System Infections"
"C","C01","C01.539","Infection"
"C","C01","C01.703","Mycoses"
"C","C01","C01.908","Zoonoses"
"C","C02","C02.081","Arbovirus Infections"
"C","C02","C02.109","Bronchiolitis, Viral"
"C","C02","C02.182","Central Nervous System Viral Diseases"
"C","C02","C02.219","Coinfection"
"C","C02","C02.256","DNA Virus Infections"
"C","C02","C02.290","Encephalitis, Viral"
"C","C02","C02.325","Eye Infections, Viral"
"C","C02","C02.330","Fatigue Syndrome, Chronic"
"C","C02","C02.407","Hepatitis, Viral, Animal"
"C","C02","C02.440","Hepatitis, Viral, Human"
"C","C02","C02.587","Meningitis, Viral"
"C","C02","C02.597","Opportunistic Infections"
"C","C02","C02.705","Pneumonia, Viral"
"C","C02","C02.782","RNA Virus Infections"
"C","C02","C02.800","Sexually Transmitted Diseases"
"C","C02","C02.825","Skin Diseases, Viral"
"C","C02","C02.839","Slow Virus Diseases"
"C","C02","C02.928","Tumor Virus Infections"
"C","C02","C02.937","Viremia"
"C","C02","C02.968","Zoonoses"
"C","C03","C03.105","Central Nervous System Parasitic Infections"
"C","C03","C03.202","Coinfection"
"C","C03","C03.300","Eye Infections, Parasitic"
"C","C03","C03.335","Helminthiasis"
"C","C03","C03.432","Intestinal Diseases, Parasitic"
"C","C03","C03.518","Liver Diseases, Parasitic"
"C","C03","C03.582","Lung Diseases, Parasitic"
"C","C03","C03.600","Mesomycetozoea Infections"
"C","C03","C03.684","Opportunistic Infections"
"C","C03","C03.695","Parasitemia"
"C","C03","C03.701","Parasitic Diseases, Animal"
"C","C03","C03.718","Pregnancy Complications, Parasitic"
"C","C03","C03.752","Protozoan Infections"
"C","C03","C03.858","Skin Diseases, Parasitic"
"C","C03","C03.908","Zoonoses"
"C","C04","C04.182","Cysts"
"C","C04","C04.445","Hamartoma"
"C","C04","C04.557","Neoplasms by Histologic Type"
"C","C04","C04.588","Neoplasms by Site"
"C","C04","C04.619","Neoplasms, Experimental"
"C","C04","C04.626","Neoplasms, Hormone-Dependent"
"C","C04","C04.651","Neoplasms, Multiple Primary"
"C","C04","C04.666","Neoplasms, Post-Traumatic"
"C","C04","C04.682","Neoplasms, Radiation-Induced"
"C","C04","C04.692","Neoplasms, Second Primary"
"C","C04","C04.697","Neoplastic Processes"
"C","C04","C04.700","Neoplastic Syndromes, Hereditary"
"C","C04","C04.730","Paraneoplastic Syndromes"
"C","C04","C04.834","Precancerous Conditions"
"C","C04","C04.850","Pregnancy Complications, Neoplastic"
"C","C04","C04.925","Tumor Virus Infections"
"C","C05","C05.116","Bone Diseases"
"C","C05","C05.182","Cartilage Diseases"
"C","C05","C05.321","Fasciitis"
"C","C05","C05.330","Foot Deformities"
"C","C05","C05.360","Foot Diseases"
"C","C05","C05.390","Hand Deformities"
"C","C05","C05.500","Jaw Diseases"
"C","C05","C05.550","Joint Diseases"
"C","C05","C05.651","Muscular Diseases"
"C","C05","C05.660","Musculoskeletal Abnormalities"
"C","C05","C05.799","Rheumatic Diseases"
"C","C05","C05.906","Tennis Elbow"
"C","C06","C06.130","Biliary Tract Diseases"
"C","C06","C06.198","Digestive System Abnormalities"
"C","C06","C06.267","Digestive System Fistula"
"C","C06","C06.301","Digestive System Neoplasms"
"C","C06","C06.405","Gastrointestinal Diseases"
"C","C06","C06.552","Liver Diseases"
"C","C06","C06.689","Pancreatic Diseases"
"C","C06","C06.844","Peritoneal Diseases"
"C","C07","C07.320","Jaw Diseases"
"C","C07","C07.465","Mouth Diseases"
"C","C07","C07.550","Pharyngeal Diseases"
"C","C07","C07.650","Stomatognathic System Abnormalities"
"C","C07","C07.678","Temporomandibular Joint Disorders"
"C","C07","C07.793","Tooth Diseases"
"C","C08","C08.127","Bronchial Diseases"
"C","C08","C08.200","Ciliary Motility Disorders"
"C","C08","C08.280","Granuloma, Respiratory Tract"
"C","C08","C08.360","Laryngeal Diseases"
"C","C08","C08.381","Lung Diseases"
"C","C08","C08.460","Nose Diseases"
"C","C08","C08.528","Pleural Diseases"
"C","C08","C08.618","Respiration Disorders"
"C","C08","C08.674","Respiratory Hypersensitivity"
"C","C08","C08.695","Respiratory System Abnormalities"
"C","C08","C08.702","Respiratory Tract Fistula"
"C","C08","C08.730","Respiratory Tract Infections"
"C","C08","C08.785","Respiratory Tract Neoplasms"
"C","C08","C08.846","Thoracic Diseases"
"C","C08","C08.907","Tracheal Diseases"
"C","C09","C09.150","Ciliary Motility Disorders"
"C","C09","C09.218","Ear Diseases"
"C","C09","C09.400","Laryngeal Diseases"
"C","C09","C09.603","Nose Diseases"
"C","C09","C09.647","Otorhinolaryngologic Neoplasms"
"C","C09","C09.775","Pharyngeal Diseases"
"C","C10","C10.114","Autoimmune Diseases of the Nervous System"
"C","C10","C10.177","Autonomic Nervous System Diseases"
"C","C10","C10.228","Central Nervous System Diseases"
"C","C10","C10.281","Chronobiology Disorders"
"C","C10","C10.292","Cranial Nerve Diseases"
"C","C10","C10.314","Demyelinating Diseases"
"C","C10","C10.500","Nervous System Malformations"
"C","C10","C10.551","Nervous System Neoplasms"
"C","C10","C10.562","Neurocutaneous Syndromes"
"C","C10","C10.574","Neurodegenerative Diseases"
"C","C10","C10.597","Neurologic Manifestations"
"C","C10","C10.668","Neuromuscular Diseases"
"C","C10","C10.720","Neurotoxicity Syndromes"
"C","C10","C10.803","Restless Legs Syndrome"
"C","C10","C10.886","Sleep Disorders"
"C","C10","C10.900","Trauma, Nervous System"
"C","C11","C11.093","Asthenopia"
"C","C11","C11.180","Cogan Syndrome"
"C","C11","C11.187","Conjunctival Diseases"
"C","C11","C11.204","Corneal Diseases"
"C","C11","C11.250","Eye Abnormalities"
"C","C11","C11.270","Eye Diseases, Hereditary"
"C","C11","C11.290","Eye Hemorrhage"
"C","C11","C11.294","Eye Infections"
"C","C11","C11.297","Eye Injuries"
"C","C11","C11.300","Eye Manifestations"
"C","C11","C11.319","Eye Neoplasms"
"C","C11","C11.338","Eyelid Diseases"
"C","C11","C11.496","Lacrimal Apparatus Diseases"
"C","C11","C11.510","Lens Diseases"
"C","C11","C11.525","Ocular Hypertension"
"C","C11","C11.540","Ocular Hypotension"
"C","C11","C11.590","Ocular Motility Disorders"
"C","C11","C11.640","Optic Nerve Diseases"
"C","C11","C11.675","Orbital Diseases"
"C","C11","C11.710","Pupil Disorders"
"C","C11","C11.744","Refractive Errors"
"C","C11","C11.768","Retinal Diseases"
"C","C11","C11.790","Scleral Diseases"
"C","C11","C11.941","Uveal Diseases"
"C","C11","C11.966","Vision Disorders"
"C","C11","C11.975","Vitreoretinopathy, Proliferative"
"C","C11","C11.980","Vitreous Detachment"
"C","C12","C12.294","Genital Diseases, Male"
"C","C12","C12.483","Pelvic Floor Disorders"
"C","C12","C12.672","Tuberculosis, Urogenital"
"C","C12","C12.706","Urogenital Abnormalities"
"C","C12","C12.758","Urogenital Neoplasms"
"C","C12","C12.777","Urologic Diseases"
"C","C13","C13.351","Female Urogenital Diseases"
"C","C13","C13.703","Pregnancy Complications"
"C","C14","C14.240","Cardiovascular Abnormalities"
"C","C14","C14.260","Cardiovascular Infections"
"C","C14","C14.280","Heart Diseases"
"C","C14","C14.583","Pregnancy Complications, Cardiovascular"
"C","C14","C14.907","Vascular Diseases"
"C","C15","C15.378","Hematologic Diseases"
"C","C15","C15.604","Lymphatic Diseases"
"C","C16","C16.131","Congenital Abnormalities"
"C","C16","C16.300","Fetal Diseases"
"C","C16","C16.320","Genetic Diseases, Inborn"
"C","C16","C16.614","Infant, Newborn, Diseases"
"C","C17","C17.300","Connective Tissue Diseases"
"C","C17","C17.800","Skin Diseases"
"C","C18","C18.452","Metabolic Diseases"
"C","C18","C18.654","Nutrition Disorders"
"C","C19","C19.053","Adrenal Gland Diseases"
"C","C19","C19.149","Bone Diseases, Endocrine"
"C","C19","C19.246","Diabetes Mellitus"
"C","C19","C19.297","Dwarfism"
"C","C19","C19.344","Endocrine Gland Neoplasms"
"C","C19","C19.391","Gonadal Disorders"
"C","C19","C19.642","Parathyroid Diseases"
"C","C19","C19.700","Pituitary Diseases"
"C","C19","C19.787","Polyendocrinopathies, Autoimmune"
"C","C19","C19.874","Thyroid Diseases"
"C","C19","C19.927","Tuberculosis, Endocrine"
"C","C20","C20.111","Autoimmune Diseases"
"C","C20","C20.306","Erythroblastosis, Fetal"
"C","C20","C20.425","Glomerulonephritis, Membranoproliferative"
"C","C20","C20.452","Graft vs Host Disease"
"C","C20","C20.543","Hypersensitivity"
"C","C20","C20.608","Immune Reconstitution Inflammatory Syndrome"
"C","C20","C20.673","Immunologic Deficiency Syndromes"
"C","C20","C20.683","Immunoproliferative Disorders"
"C","C20","C20.841","Purpura, Thrombocytopenic"
"C","C20","C20.920","Transfusion Reaction"
"C","C21","C21.223","Environmental Illness"
"C","C21","C21.676","Preconception Injuries"
"C","C22","C22.021","Abortion, Veterinary"
"C","C22","C22.039","Actinobacillosis"
"C","C22","C22.062","Aleutian Mink Disease"
"C","C22","C22.073","Anal Gland Neoplasms"
"C","C22","C22.085","Anaplasmosis"
"C","C22","C22.131","Bird Diseases"
"C","C22","C22.152","Borna Disease"
"C","C22","C22.180","Cat Diseases"
"C","C22","C22.196","Cattle Diseases"
"C","C22","C22.214","Digital Dermatitis"
"C","C22","C22.232","Disease Models, Animal"
"C","C22","C22.268","Dog Diseases"
"C","C22","C22.313","Enterotoxemia"
"C","C22","C22.331","Erysipelothrix Infections"
"C","C22","C22.362","Fish Diseases"
"C","C22","C22.380","Foot-and-Mouth Disease"
"C","C22","C22.394","Foot Rot"
"C","C22","C22.405","Goat Diseases"
"C","C22","C22.434","Heartwater Disease"
"C","C22","C22.467","Hepatitis, Animal"
"C","C22","C22.488","Horse Diseases"
"C","C22","C22.500","Keratoconjunctivitis, Infectious"
"C","C22","C22.510","Lameness, Animal"
"C","C22","C22.520","Mammary Neoplasms, Animal"
"C","C22","C22.557","Mink Viral Enteritis"
"C","C22","C22.595","Muscular Dystrophy, Animal"
"C","C22","C22.627","Myxomatosis, Infectious"
"C","C22","C22.674","Parasitic Diseases, Animal"
"C","C22","C22.688","Paratuberculosis"
"C","C22","C22.695","Parturient Paresis"
"C","C22","C22.706","Peste-des-Petits-Ruminants"
"C","C22","C22.717","Pleuropneumonia, Contagious"
"C","C22","C22.735","Primate Diseases"
"C","C22","C22.742","Pseudorabies"
"C","C22","C22.761","Pythiosis"
"C","C22","C22.780","Rinderpest"
"C","C22","C22.795","Rodent Diseases"
"C","C22","C22.812","Salmonella Infections, Animal"
"C","C22","C22.836","Sheep Diseases"
"C","C22","C22.880","Steatitis"
"C","C22","C22.905","Swine Diseases"
"C","C22","C22.950","Venereal Tumors, Veterinary"
"C","C22","C22.952","Vesicular Stomatitis"
"C","C22","C22.955","Wasting Disease, Chronic"
"C","C22","C22.969","Zoonoses"
"C","C23","C23.149","Morphological and Microscopic Findings"
"C","C23","C23.300","Pathological Conditions, Anatomical"
"C","C23","C23.550","Pathologic Processes"
"C","C23","C23.888","Signs and Symptoms"
"C","C24","C24.080","Agricultural Workers' Diseases"
"C","C24","C24.102","Asthma, Occupational"
"C","C24","C24.125","Bird Fancier's Lung"
"C","C24","C24.270","Dermatitis, Occupational"
"C","C24","C24.400","Hand-Arm Vibration Syndrome"
"C","C24","C24.410","High Pressure Neurological Syndrome"
"C","C24","C24.426","Inert Gas Narcosis"
"C","C24","C24.506","Laboratory Infection"
"C","C24","C24.653","Persian Gulf Syndrome"
"C","C24","C24.800","Pneumoconiosis"
"C","C24","C24.900","Sleep Disorders, Circadian Rhythm"
"C","C25","C25.100","Drug-Related Side Effects and Adverse Reactions"
"C","C25","C25.723","Poisoning"
"C","C25","C25.775","Substance-Related Disorders"
"C","C26","C26.017","Abdominal Injuries"
"C","C26","C26.062","Amputation, Traumatic"
"C","C26","C26.088","Arm Injuries"
"C","C26","C26.103","Asphyxia"
"C","C26","C26.115","Athletic Injuries"
"C","C26","C26.117","Back Injuries"
"C","C26","C26.120","Barotrauma"
"C","C26","C26.130","Battered Child Syndrome"
"C","C26","C26.141","Birth Injuries"
"C","C26","C26.176","Bites and Stings"
"C","C26","C26.200","Burns"
"C","C26","C26.224","Contrecoup Injury"
"C","C26","C26.248","Contusions"
"C","C26","C26.260","Craniocerebral Trauma"
"C","C26","C26.289","Dislocations"
"C","C26","C26.304","Drowning"
"C","C26","C26.324","Electric Injuries"
"C","C26","C26.348","Esophageal Perforation"
"C","C26","C26.371","Extravasation of Diagnostic and Therapeutic Materials"
"C","C26","C26.392","Foreign Bodies"
"C","C26","C26.404","Fractures, Bone"
"C","C26","C26.411","Fractures, Cartilage"
"C","C26","C26.417","Frostbite"
"C","C26","C26.448","Hand Injuries"
"C","C26","C26.522","Heat Stress Disorders"
"C","C26","C26.531","Hip Injuries"
"C","C26","C26.540","Lacerations"
"C","C26","C26.558","Leg Injuries"
"C","C26","C26.640","Multiple Trauma"
"C","C26","C26.670","Nasal Septal Perforation"
"C","C26","C26.700","Neck Injuries"
"C","C26","C26.716","Occupational Injuries"
"C","C26","C26.733","Radiation Injuries"
"C","C26","C26.748","Retropneumoperitoneum"
"C","C26","C26.761","Rupture"
"C","C26","C26.780","Self Mutilation"
"C","C26","C26.797","Shock, Traumatic"
"C","C26","C26.808","Soft Tissue Injuries"
"C","C26","C26.819","Spinal Cord Injuries"
"C","C26","C26.831","Spinal Injuries"
"C","C26","C26.844","Sprains and Strains"
"C","C26","C26.874","Tendon Injuries"
"C","C26","C26.891","Thoracic Injuries"
"C","C26","C26.900","Tooth Injuries"
"C","C26","C26.915","Trauma, Nervous System"
"C","C26","C26.930","Tympanic Membrane Perforation"
"C","C26","C26.940","Vascular System Injuries"
"C","C26","C26.951","Wound Infection"
"C","C26","C26.974","Wounds, Nonpenetrating"
"C","C26","C26.986","Wounds, Penetrating"
"D","D01","D01.029","Acids"
"D","D01","D01.045","Alkalies"
"D","D01","D01.056","Aluminum Compounds"
"D","D01","D01.075","Arsenicals"
"D","D01","D01.103","Barium Compounds"
"D","D01","D01.132","Boron Compounds"
"D","D01","D01.139","Bromine Compounds"
"D","D01","D01.142","Cadmium Compounds"
"D","D01","D01.146","Calcium Compounds"
"D","D01","D01.200","Carbon Compounds, Inorganic"
"D","D01","D01.210","Chlorine Compounds"
"D","D01","D01.220","Chromium Compounds"
"D","D01","D01.234","Coordination Complexes"
"D","D01","D01.248","Electrolytes"
"D","D01","D01.268","Elements"
"D","D01","D01.303","Fluorine Compounds"
"D","D01","D01.339","Free Radicals"
"D","D01","D01.362","Gases"
"D","D01","D01.379","Gold Compounds"
"D","D01","D01.435","Hydrogen"
"D","D01","D01.455","Hydroxides"
"D","D01","D01.475","Iodine Compounds"
"D","D01","D01.490","Iron Compounds"
"D","D01","D01.496","Isotopes"
"D","D01","D01.510","Lithium Compounds"
"D","D01","D01.524","Magnesium Compounds"
"D","D01","D01.530","Manganese Compounds"
"D","D01","D01.538","Mercury Compounds"
"D","D01","D01.552","Metals"
"D","D01","D01.578","Minerals"
"D","D01","D01.625","Nitrogen Compounds"
"D","D01","D01.640","Osmium Compounds"
"D","D01","D01.650","Oxygen Compounds"
"D","D01","D01.695","Phosphorus Compounds"
"D","D01","D01.710","Platinum Compounds"
"D","D01","D01.745","Potassium Compounds"
"D","D01","D01.765","Ruthenium Compounds"
"D","D01","D01.786","Salts"
"D","D01","D01.810","Selenium Compounds"
"D","D01","D01.837","Silicon Compounds"
"D","D01","D01.847","Silver Compounds"
"D","D01","D01.857","Sodium Compounds"
"D","D01","D01.875","Sulfur Compounds"
"D","D01","D01.925","Technetium Compounds"
"D","D01","D01.930","Thorium Compounds"
"D","D01","D01.935","Tin Compounds"
"D","D01","D01.940","Tungsten Compounds"
